Path	Filename	HiFspp	LoFspp	Consensus	ByVote	#Maj	#Accpt	MeanClssn	DiscrProb	Clssn if<Thr	DP if<Thr	Fc mean	Fc StdDev	Dur mean	Dur StdDev	calls/sec	1st	2nd	3rd	4th	<--All spp in sqnc classified with a DP>0.75 in order of prevalence	ParentDir	NextDirUp	FileLngth	Version	Filter	Preemphasis	MaxSegLngth	DP Thr	AccpQuality	AccpQualForTally	Max#CallsConsidered
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00806.wav	H1NF111n3M00806.wav																					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00807.wav	H1NF111n3M00807.wav																					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00809.wav	H1NF111n3M00809.wav																					Night3	H1NF111	2999.93	3.22	25 kHz ant-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00819.wav	H1NF111n3M00819.wav																					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00824.wav	H1NF111n3M00824.wav																					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00827.wav	H1NF111n3M00827.wav																					Night3	H1NF111	2999.93	3.22	25 kHz ant-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00838.wav	H1NF111n3M00838.wav																					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00860-Myca.wav	H1NF111n3M00860-Myca.wav	1		Myca	Myca	2	2	Myca	0.9561			48.19	0.42	2.44	0.12	9.42	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00861-Myca.wav	H1NF111n3M00861-Myca.wav	1		Myca	Myca	5	5	Myca	0.9992			51.40	0.81	2.40	0.17	10.12	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00862-Myca.wav	H1NF111n3M00862-Myca.wav	1		Myca	Myca	3	3	Myca	0.9803			49.41	0.92	2.49	0.36	9.12	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
