Path	Filename	HiFspp	LoFspp	Consensus	ByVote	#Maj	#Accpt	MeanClssn	DiscrProb	Clssn if<Thr	DP if<Thr	Fc mean	Fc StdDev	Dur mean	Dur StdDev	calls/sec	1st	2nd	3rd	4th	<--All spp in sqnc classified with a DP>0.75 in order of prevalence	ParentDir	NextDirUp	FileLngth	Version	Filter	Preemphasis	MaxSegLngth	DP Thr	AccpQuality	AccpQualForTally	Max#CallsConsidered
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00008.wav	H2F121n1M00008.wav																					H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00010.WAV	H2F121n1M00010.wav	1			Myev	2	3			Anpa/Myev	0.520/0.465	35.37	3.92	1.97	0.06	8.52	Myev	Myci				H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00011.WAV	H2F121n1M00011.wav		1							Laci/Tabr	0.671/0.281					2.42	Laci	Tabr				H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00012-Anpa.wav	H2F121n1M00012-Anpa.wav		1	Anpa	Anpa	3	4	Anpa	0.9743			27.79	0.39	6.79	0.54	8.23	Anpa	Epfu				H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00013.wav	H2F121n1M00013.wav																					H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00014-Lano.wav	H2F121n1M00014-Lano.wav		1	Lano	Lano	7	7	Lano	0.9907			26.36	0.18	15.56	0.83	3.21	Lano					H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00016.wav	H2F121n1M00016.wav		1		Lano	1	1	Lano	0.9994			25.89		17.43		1.95	Lano					H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00018.WAV	H2F121n1M00018.wav		1		AnpaCoto	2	4			Anpa/Epfu	0.843/0.148	27.75	0.27	5.97	0.41	6.02	Anpa	Coto				H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00019.wav	H2F121n1M00019.wav		1													2.11						H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00020-Tabr.wav	H2F121n1M00020-Tabr.wav		1	Tabr	Tabr	2	2	Tabr	0.9707			23.73	0.10	17.59	0.24	3.81	Tabr					H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00021.WAV	H2F121n1M00021.wav		1							Lano/Laci	0.695/0.162					4.68	Lano					H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00022.WAV	H2F121n1M00022.wav		1							Lano/Tabr	0.588/0.412					2.98	Lano	Tabr				H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00023-Lano.wav	H2F121n1M00023-Lano.wav		1	Lano	Lano	7	7	Lano	0.9910			26.52	0.38	12.46	0.76	3.92	Lano					H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00024-Lano.wav	H2F121n1M00024-Lano.wav		1	Lano	Lano	4	4	Lano	0.9995			24.66	0.19	15.72	0.66	2.81	Lano					H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00025-Laci.wav	H2F121n1M00025-Laci.wav		1	Laci	Laci	1	1	Laci	0.9881			21.88		15.27		2.57	Tabr	Laci				H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00026-Tabr.wav	H2F121n1M00026-Tabr.wav		1	Tabr	Tabr	2	2	Tabr	0.9855			20.96	0.13	12.16	0.85	3.42	Tabr					H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00027.wav	H2F121n1M00027.wav	1														7.05	Myci					H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00028.wav	H2F121n1M00028.wav	1				1	1					40.44		7.64		4.85	Mylu					H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00029.WAV	H2F121n1M00029.wav		1		MythCoto	3	6			Coto/Myth	0.736/0.264	23.18	2.23	3.23	0.22	7.16	Myth	Coto				H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00030-Lano.wav	H2F121n1M00030-Lano.wav		1	Lano	Lano	4	4	Lano	0.9709			26.73	0.30	12.33	2.15	3.35	Lano					H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00031-Lano.wav	H2F121n1M00031-Lano.wav		1	Lano	Lano	2	2	Lano	0.9980			25.40	0.07	16.05	1.86	1.73	Lano					H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00032.WAV	H2F121n1M00032.wav		1							Lano/Tabr	0.767/0.233					2.01	Lano					H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00033-Tabr.wav	H2F121n1M00033-Tabr.wav		1	Tabr	Tabr	3	4	Tabr	0.9918			24.37	0.11	18.28	2.70	3.28	Tabr	Lano				H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00034.WAV	H2F121n1M00034.wav		1							Lano/Tabr	0.831/0.094					2.76	Lano					H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00035.WAV	H2F121n1M00035.wav		1							Tabr/Lano	0.561/0.407					2.63						H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00036-Lano.wav	H2F121n1M00036-Lano.wav		1	Lano	Lano	3	3	Lano	0.9755			26.35	0.19	12.20	0.28	3.35	Lano	Tabr				H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2F121:H2F121n1:H2F121n1M00037-Lano.wav	H2F121n1M00037-Lano.wav		1	Lano	Lano	3	3	Lano	0.9343			25.84	0.39	11.75	0.59	3.44	Lano					H2F121n1	H2F121	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
