Path	Filename	HiFspp	LoFspp	Consensus	ByVote	#Maj	#Accpt	MeanClssn	DiscrProb	Clssn if<Thr	DP if<Thr	Fc mean	Fc StdDev	Dur mean	Dur StdDev	calls/sec	1st	2nd	3rd	4th	<--All spp in sqnc classified with a DP>0.75 in order of prevalence	ParentDir	NextDirUp	FileLngth	Version	Filter	Preemphasis	MaxSegLngth	DP Thr	AccpQuality	AccpQualForTally	Max#CallsConsidered
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00004.wav	H2NF128n1M00004.wav																					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00020.wav	H2NF128n1M00020.wav																					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00021.wav	H2NF128n1M00021.wav																					H2NF128n1	H2NF128	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00022.wav	H2NF128n1M00022.wav																					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00024.wav	H2NF128n1M00024.wav																					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00029.wav	H2NF128n1M00029.wav																					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00038.wav	H2NF128n1M00038.wav																					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00041.wav	H2NF128n1M00041.wav																					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00054.wav	H2NF128n1M00054.wav																					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00055.wav	H2NF128n1M00055.wav																					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00064.wav	H2NF128n1M00064.wav																					H2NF128n1	H2NF128	2999.93	3.22	25 kHz ant-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00071.wav	H2NF128n1M00071.wav																					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00086.wav	H2NF128n1M00086.wav		1		Lano	1	1	Lano	0.9405			26.51		10.92		1.73	Lano					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00087-Lano.wav	H2NF128n1M00087-Lano.wav		1	Lano	Lano	2	2	Lano	0.9984			26.45	0.00	14.42	1.10	1.54	Lano					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00090.wav	H2NF128n1M00090.wav																					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00092-Myca.wav	H2NF128n1M00092-Myca.wav	1		Myca	Myca	2	3	Myca	0.9704			49.09	0.03	2.37	0.20	5.51	Myca	Myci	Coto			H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00093-Myca.wav	H2NF128n1M00093-Myca.wav	1		Myca	Myca	2	2	Myca	0.9584			48.70	0.46	2.68	0.13	8.58	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00094-Myca.wav	H2NF128n1M00094-Myca.wav	1		Myca	Myca	2	2	Myca	0.9972			51.30	2.32	2.58	0.38	8.01	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00095.wav	H2NF128n1M00095.wav																					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00096-Myca.wav	H2NF128n1M00096-Myca.wav	1		Myca	Myca	8	8	Myca	0.9937			50.33	0.54	2.57	0.20	12.16	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00097-Myca.wav	H2NF128n1M00097-Myca.wav	1		Myca	Myca	8	8	Myca	0.9884			49.86	0.79	2.74	0.38	10.21	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00098-Myca.wav	H2NF128n1M00098-Myca.wav	1		Myca	Myca	7	7	Myca	0.9932			49.82	1.01	2.77	0.50	11.89	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00099.wav	H2NF128n1M00099.wav	1			MycaMyci	3	5	Myca	0.9837			48.40	0.72	2.88	0.16	9.22	Myca	Myci				H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00100.wav	H2NF128n1M00100.wav																					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00101.wav	H2NF128n1M00101.wav	1														5.02						H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00102.wav	H2NF128n1M00102.wav	1				1	1					37.69		2.12		9.68	Myev					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00103-Myev.wav	H2NF128n1M00103-Myev.wav	1		Myev	Myev	5	5	Myev	1.0000			36.01	0.75	2.25	0.19	10.18	Myev					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
