Path	Filename	HiFspp	LoFspp	Consensus	ByVote	#Maj	#Accpt	MeanClssn	DiscrProb	Clssn if<Thr	DP if<Thr	Fc mean	Fc StdDev	Dur mean	Dur StdDev	calls/sec	1st	2nd	3rd	4th	<--All spp in sqnc classified with a DP>0.75 in order of prevalence	ParentDir	NextDirUp	FileLngth	Version	Filter	Preemphasis	MaxSegLngth	DP Thr	AccpQuality	AccpQualForTally	Max#CallsConsidered
Corynorhinus:Users:Derek:Audio2016:H2NF143:H2NF142n3:H2NF142n3M00709-Tabr.wav	H2NF142n3M00709-Tabr.wav		1	Tabr	Tabr	1	1	Tabr	0.9319			28.15		8.76		5.36	Lano	Tabr	Laci			H2NF142n3	H2NF143	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF143:H2NF142n3:H2NF142n3M00710.wav	H2NF142n3M00710.wav	1				1	1					44.77		2.26		7.25	Pahe					H2NF142n3	H2NF143	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF143:H2NF142n3:H2NF142n3M00712-Tabr.wav	H2NF142n3M00712-Tabr.wav		1	Tabr	Tabr	1	1	Tabr	0.9803			27.18		14.03		5.97	Tabr					H2NF142n3	H2NF143	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF143:H2NF142n3:H2NF142n3M00713.WAV	H2NF142n3M00713.wav		1		TabrLaci	1	2			Tabr/Laci	0.593/0.323	26.16		12.85		5.68	Laci	Tabr				H2NF142n3	H2NF143	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF143:H2NF142n3:H2NF142n3M00718.wav	H2NF142n3M00718.wav		1													3.80	Laci					H2NF142n3	H2NF143	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF143:H2NF142n3:H2NF142n3M00723-Laci.wav	H2NF142n3M00723-Laci.wav		1	Laci	Laci	1	1	Laci	0.9999			26.57		6.88		1.84	Laci					H2NF142n3	H2NF143	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF143:H2NF142n3:H2NF142n3M00726-Tabr.wav	H2NF142n3M00726-Tabr.wav		1	Tabr	Tabr	1	1	Tabr	0.9486			26.62		9.44		3.93	Tabr					H2NF142n3	H2NF143	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF143:H2NF142n3:H2NF142n3M00728.wav	H2NF142n3M00728.wav		1													1.43						H2NF142n3	H2NF143	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF143:H2NF142n3:H2NF142n3M00743.wav	H2NF142n3M00743.wav																					H2NF142n3	H2NF143	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF143:H2NF142n3:H2NF142n3M00754-Tabr.wav	H2NF142n3M00754-Tabr.wav		1	Tabr	Tabr	1	1	Tabr	0.9999			25.98		13.83		2.71	Tabr					H2NF142n3	H2NF143	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF143:H2NF142n3:H2NF142n3M00755.wav	H2NF142n3M00755.wav																					H2NF142n3	H2NF143	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF143:H2NF142n3:H2NF142n3M00764.wav	H2NF142n3M00764.wav																					H2NF142n3	H2NF143	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF143:H2NF142n3:H2NF142n3M00765.wav	H2NF142n3M00765.wav																					H2NF142n3	H2NF143	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF143:H2NF142n3:H2NF142n3M00771.wav	H2NF142n3M00771.wav	1														5.59						H2NF142n3	H2NF143	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF143:H2NF142n3:H2NF142n3M00784.wav	H2NF142n3M00784.wav																					H2NF142n3	H2NF143	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF143:H2NF142n3:H2NF142n3M00787.wav	H2NF142n3M00787.wav																					H2NF142n3	H2NF143	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
