Path	Filename	HiFspp	LoFspp	Consensus	ByVote	#Maj	#Accpt	MeanClssn	DiscrProb	Clssn if<Thr	DP if<Thr	Fc mean	Fc StdDev	Dur mean	Dur StdDev	calls/sec	1st	2nd	3rd	4th	<--All spp in sqnc classified with a DP>0.75 in order of prevalence	ParentDir	NextDirUp	FileLngth	Version	Filter	Preemphasis	MaxSegLngth	DP Thr	AccpQuality	AccpQualForTally	Max#CallsConsidered
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06728.wav	H3F144n3M06728.wav																					H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06729.wav	H3F144n3M06729.wav															2.37						H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06731.wav	H3F144n3M06731.wav																					H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06733.wav	H3F144n3M06733.wav																					H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06734.wav	H3F144n3M06734.wav																					H3F144n3	H3F144	2999.93	3.22	25 kHz ant-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06740.wav	H3F144n3M06740.wav																					H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06741.wav	H3F144n3M06741.wav																					H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06743.WAV	H3F144n3M06743.wav	1				1	2			Myvo/Mylu	0.559/0.364	42.62		5.76		12.48	Myvo	Myev				H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06744.wav	H3F144n3M06744.wav	1				1	1					45.34		3.28		10.03	Myci					H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06745-Tabr.wav	H3F144n3M06745-Tabr.wav		1	Tabr	Tabr	2	2	Tabr	0.9939			26.53	0.70	11.49	2.94	1.62	Tabr	Lano				H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06746.wav	H3F144n3M06746.wav																					H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06747.wav	H3F144n3M06747.wav		1			1	1	Anpa	0.9644			29.98		6.71		7.55	Anpa					H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06749-Myca.wav	H3F144n3M06749-Myca.wav	1		Myca	Myca	3	3	Myca	0.9552			45.64	0.23	3.65	0.08	12.96	Myca					H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06751-Myev.wav	H3F144n3M06751-Myev.wav	1	1	Myev	Myev	3	3	Myev	1.0000			32.69	0.38	3.97	0.78	8.69	Myev					H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06752-Myev.wav	H3F144n3M06752-Myev.wav	1		Myev	Myev	4	4	Myev	0.9939			35.47	0.73	3.87	0.46	7.38	Myev					H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06755.wav	H3F144n3M06755.wav															3.63						H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06767.wav	H3F144n3M06767.wav																					H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06771-Myev.wav	H3F144n3M06771-Myev.wav	1		Myev	Myev	7	7	Myev	1.0000			33.25	2.02	3.69	0.79	6.75	Myev					H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06774-Myev.wav	H3F144n3M06774-Myev.wav	1	1	Myev	Myev	4	6	Myev	1.0000			31.46	0.90	3.76	0.44	8.33	Myev	Myth				H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06775.wav	H3F144n3M06775.wav																					H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06776.wav	H3F144n3M06776.wav		1		CotoMyev	3	5	Coto	1.0000			22.01	0.11	4.99	0.19	7.04	Coto	Myev	Anpa			H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06777-Myth.wav	H3F144n3M06777-Myth.wav		1	Myth	Myth	3	4	Myth	0.9969			26.11	2.99	5.03	0.76	6.71	Myth	Myev	Anpa			H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06781.wav	H3F144n3M06781.wav																					H3F144n3	H3F144	2999.93	3.22	25 kHz ant-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06783.wav	H3F144n3M06783.wav																					H3F144n3	H3F144	2999.93	3.22	25 kHz ant-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06786.wav	H3F144n3M06786.wav		1													3.83						H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06789.wav	H3F144n3M06789.wav		1			1	1	Coto	1.0000			21.16		3.17		6.10	Coto					H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06799.wav	H3F144n3M06799.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06800.wav	H3F144n3M06800.wav																					H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06845.wav	H3F144n3M06845.wav		1													2.12						H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06847-Myev.wav	H3F144n3M06847-Myev.wav	1		Myev	Myev	7	7	Myev	0.9989			37.07	1.22	2.81	0.50	7.69	Myev					H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06864.wav	H3F144n3M06864.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06867.wav	H3F144n3M06867.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06869.wav	H3F144n3M06869.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06875.wav	H3F144n3M06875.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06890.wav	H3F144n3M06890.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06895.wav	H3F144n3M06895.wav		1													3.19						H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
