Path	Filename	HiFspp	LoFspp	Consensus	ByVote	#Maj	#Accpt	MeanClssn	DiscrProb	Clssn if<Thr	DP if<Thr	Fc mean	Fc StdDev	Dur mean	Dur StdDev	calls/sec	1st	2nd	3rd	4th	<--All spp in sqnc classified with a DP>0.75 in order of prevalence	ParentDir	NextDirUp	FileLngth	Version	Filter	Preemphasis	MaxSegLngth	DP Thr	AccpQuality	AccpQualForTally	Max#CallsConsidered
Corynorhinus:Users:Derek:Audio2016:H4F165:Night2:H4F165n2M00040.wav	H4F165n2M00040.wav	1				1	1	Myca	0.9844			47.46		2.89		6.68	Myca					Night2	H4F165	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H4F165:Night2:H4F165n2M00041-Myca.wav	H4F165n2M00041-Myca.wav	1		Myca	Myca	2	2	Myca	0.9721			48.28	0.53	2.87	0.58	9.42	Myca					Night2	H4F165	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H4F165:Night2:H4F165n2M00042.WAV	H4F165n2M00042.wav		1							Lano/Laci	0.544/0.432					4.39	Lano					Night2	H4F165	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H4F165:Night2:H4F165n2M00044.wav	H4F165n2M00044.wav																					Night2	H4F165	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H4F165:Night2:H4F165n2M00048-Myca.wav	H4F165n2M00048-Myca.wav	1		Myca	Myca	6	6	Myca	0.9802			48.89	0.85	2.66	0.59	9.05	Myca					Night2	H4F165	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H4F165:Night2:H4F165n2M00049.wav	H4F165n2M00049.wav																					Night2	H4F165	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H4F165:Night2:H4F165n2M00050.wav	H4F165n2M00050.wav																					Night2	H4F165	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H4F165:Night2:H4F165n2M00052.wav	H4F165n2M00052.wav																					Night2	H4F165	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H4F165:Night2:H4F165n2M00059.wav	H4F165n2M00059.wav																					Night2	H4F165	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H4F165:Night2:H4F165n2M00074.wav	H4F165n2M00074.wav																					Night2	H4F165	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H4F165:Night2:H4F165n2M00079.wav	H4F165n2M00079.wav																					Night2	H4F165	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
