Path	Filename	HiFspp	LoFspp	Consensus	ByVote	#Maj	#Accpt	MeanClssn	DiscrProb	Clssn if<Thr	DP if<Thr	Fc mean	Fc StdDev	Dur mean	Dur StdDev	calls/sec	1st	2nd	3rd	4th	<--All spp in sqnc classified with a DP>0.75 in order of prevalence	ParentDir	NextDirUp	FileLngth	Version	Filter	Preemphasis	MaxSegLngth	DP Thr	AccpQuality	AccpQualForTally	Max#CallsConsidered
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00015.wav	H5NF191M00015.wav																					H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00017.wav	H5NF191M00017.wav																					H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00019.wav	H5NF191M00019.wav																					H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00028.wav	H5NF191M00028.wav																					H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00035.wav	H5NF191M00035.wav																					H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00040.wav	H5NF191M00040.wav	1				1	1	Myca	0.9481			47.96		2.69		12.56	Myca					H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00041.wav	H5NF191M00041.wav		1													3.03						H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00042-Myev.wav	H5NF191M00042-Myev.wav	1		Myev	Myev	8	8	Myev	0.9992			35.91	1.00	3.76	0.57	8.46	Myev					H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00043-Myev.wav	H5NF191M00043-Myev.wav	1		Myev	Myev	6	6	Myev	0.9993			37.03	1.31	2.70	0.38	9.96	Myev					H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00044.wav	H5NF191M00044.wav																					H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
