"","Species","Meanhum","Meantemp","Minhum","Maxhum","Mintemp","sdhum","sdtemp","Julian","Maxtemp","Total"
"1","MYYU","1","1","1","0","0","0","0","0","0","3"
"2","MYCA","1","1","0","1","1","0","0","0","0","4"
"3","MYCI","1","0","0","1","0","1","0","0","0","3"
"4","MYVO","0","0","0","1","0","0","0","0","0","1"
"5","MYLU","0","0","0","0","0","0","1","0","0","1"
"6","LABL","0","0","0","0","0","0","1","0","0","1"
"7","MYEV","0","0","0","1","0","0","0","0","0","1"
"8","ANPA","0","0","0","0","0","0","0","1","0","1"
"9","MYTH","1","0","0","0","0","0","0","0","0","1"
"10","COTO","1","0","0","0","1","1","0","0","0","3"
"11","PAHE","0","0","0","1","1","0","0","1","0","3"
"12","EPFU","1","1","0","0","0","0","0","1","0","3"
"13","LANO","0","1","0","1","0","0","0","0","0","2"
"14","TABR","1","0","1","0","0","1","0","0","0","3"
"15","LACI","0","1","1","0","0","0","1","1","0","4"
"16","EUMA","0","1","0","1","0","0","0","0","1","3"
"17","EUPE","1","0","1","1","0","1","0","0","0","4"
"18","Total","8","6","4","8","3","4","3","4","1",""
