"","Species","Meanhum","Meantemp","Minhum","Maxhum","Mintemp","sdhum","sdtemp","Julian","Maxtemp","Total"
"1","MYYU","-0.269588680852446","0.919358244983962","0.469774127375115",NA,NA,NA,NA,NA,NA,"3"
"2","MYCA","1.07335405848795","2.56420726522357",NA,"-1.35422883213332","-2.40793437447614",NA,NA,NA,NA,"4"
"3","MYCI","5.71380152603156",NA,NA,"-5.85067585712045",NA,"1.76820284550432",NA,NA,NA,"3"
"4","MYVO",NA,NA,NA,"-0.375821279342352",NA,NA,NA,NA,NA,"1"
"5","MYLU",NA,NA,NA,NA,NA,NA,"1.0326008064633",NA,NA,"1"
"6","LABL",NA,NA,NA,NA,NA,NA,"-0.482331218103828",NA,NA,"1"
"7","MYEV",NA,NA,NA,"-0.434294394590292",NA,NA,NA,NA,NA,"1"
"8","ANPA",NA,NA,NA,NA,NA,NA,NA,"-0.514764256197265",NA,"1"
"9","MYTH","-0.204431079201624",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"10","COTO","1.36958191074184",NA,NA,NA,"0.760077612494562","0.80501787675277",NA,NA,NA,"3"
"11","PAHE",NA,NA,NA,"-0.0887662874795858","1.0079178620018",NA,NA,"-1.02808378352269",NA,"3"
"12","EPFU","-0.644550918975166","-0.609572469010412",NA,NA,NA,NA,NA,"0.411973479356279",NA,"3"
"13","LANO",NA,"-0.752382098983148",NA,"-0.413282551848697",NA,NA,NA,NA,NA,"2"
"14","TABR","1.59469088244648",NA,"-1.73911275571381",NA,NA,"-0.783118219143192",NA,NA,NA,"3"
"15","LACI",NA,"0.319643422637297","0.433019611624316",NA,NA,NA,"0.81700212173278","-0.517079497550733",NA,"4"
"16","EUMA",NA,"-3.04432776872527",NA,"-2.07897620998281",NA,NA,NA,NA,"1.88823507683757","3"
"17","EUPE","5.87028152450338",NA,"5.65281057324195","-11.5235599318931",NA,"5.82834242067675",NA,NA,NA,"4"
"18","Total","8","6","4","8","3","4","3","4","1",""
