"","spp","PSI","P","Days","PSI_SE","P_SE"
"1","ANPA",0.11,0.31,10,0.05,0.12
"2","EPFU",0.09,0.41,7,0.1,0.07
"3","EUPE",1,0.03,100,0,0.02
"4","EUMA",1,0.01,300,0,0.01
"5","LABL",0.28,0.2,15,0.11,0.08
"6","LACI",0.6,0.44,7,0.07,0.05
"7","LANO",0.49,0.65,4,0.09,0.05
"8","MYCI",0.1,0.39,8,0.04,0.1
"9","MYCA",0.82,0.74,4,0.04,0.03
"10","MYEV",0.76,0.64,4,0.06,0.04
"11","MYLU",0.73,0.73,4,0.12,0.05
"12","MYYU",0,0.14,21,0,0.03
"13","PAHE",0,0.03,100,0,0.04
"14","TABR",0.66,0.65,4,0.05,0.04
"15","MYTH",0.18,0.3,10,0.06,0.1
"16","MYVO",0.2,0.3,10,0.06,0.1
"17","COTO",0.35,0.08,37,0.17,0.05
